,Species,Host
2401,Vibrio virus VP2,Vibrio cholerae
2402,Vibrio virus VP5,Vibrio cholerae
2403,Mycoplasma phage phiMFV1,Mycoplasma
2404,Vibrio virus Vf33,Vibrio parahaemolyticus
2405,Burkholderia virus BcepMu,Unknown
2406,Pseudomonas phage PaP2,Pseudomonas aeruginosa
2407,Actinoplanes phage phiAsp2,Actinoplanes sp. SN223/29
2408,Burkholderia virus BcepC6B,Burkholderia cepacia
2409,Lactobacillus phage phiAT3,Lactobacillus casei
2410,Burkholderia virus Bcep781,Burkholderia cepacia
2411,Burkholderia virus Bcep43,Burkholderia cepacia
2412,Burkholderia virus Bcep1,Burkholderia cenocepacia
2413,Escherichia virus P1,Escherichia coli
2414,Klebsiella phage phiKO2,Klebsiella oxytoca
2415,Escherichia virus T5,Escherichia coli
2416,Enterobacteria phage ST104,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104
2417,Escherichia virus T1,Escherichia coli
2418,Lactococcus phage phiLC3,Lactococcus lactis subsp. cremoris
2419,Lactobacillus prophage Lj928,Lactobacillus johnsonii
2420,Lactobacillus prophage Lj965,Lactobacillus johnsonii
2421,Staphylococcus virus 77,Staphylococcus aureus
2422,Bordetella virus BPP1,Bordetella bronchiseptica
2423,Salmonella virus PsP3,Salmonella
2424,Shigella virus Sf6,Shigella flexneri
2425,Lactobacillus phage A2,Lactobacillus casei
2426,Streptomyces virus phiC31,Unknown
2427,Salmonella virus IKe,Escherichia coli
2428,Pseudomonas virus Pf1,Pseudomonas aeruginosa
2429,Acholeplasma virus L2,Acholeplasma laidlawii
2430,Mycobacterium virus Che9d,Unknown
2431,Streptococcus phage EJ-1,Streptococcus pneumoniae
2432,Burkholderia virus phi1026b,Burkholderia pseudomallei 1026b
2433,Bacillus virus Bam35,Bacillus thuringiensis
2434,Aeromonas virus Aeh1,Aeromonas hydrophila
2435,Pseudomonas virus D3112,Pseudomonas aeruginosa
2436,Clostridium phage phi3626,Clostridium perfringens
2437,Aeromonas virus 44RR2,Aeromonas salmonicida
2438,Ralstonia phage p12J,Ralstonia pickettii
2439,Vibrio virus KVP40,Vibrio parahaemolyticus
2440,Escherichia virus Wphi,Escherichia coli W
2441,Streptococcus phage SM1,Streptococcus mitis
2442,Escherichia virus RB69,Escherichia coli
2443,Escherichia Stx1 converting phage,Escherichia coli O157:H7
2444,Escherichia virus Stx2 II,Escherichia coli O157:H7
2445,Xanthomonas virus Xp10,Xanthomonas oryzae
2446,Salmonella virus SP6,Salmonella enterica subsp. enterica serovar Typhimurium
2447,Bacillus phage phBC6A51,Bacillus cereus
2448,Bacillus phage phBC6A52,Bacillus cereus
2449,Streptococcus virus C1,Streptococcus sp. 'group C'
2450,Yersinia phage phiA1122,Yersinia pestis
2451,Lactococcus phage P335 sensu lato,Lactococcus lactis
2452,Yersinia virus L413C,Yersinia pestis
2453,Vibrio virus VGJ,Vibrio cholerae
2454,Staphylococcus phage phiN315,Staphylococcus aureus subsp. aureus N315
2455,Rhodothermus phage RM378,Rhodothermus marinus
2456,Listeria virus PSA,Listeria monocytogenes
2457,Staphylococcus virus 44AHJD,Staphylococcus aureus
2458,Staphylococcus phage P68,Staphylococcus aureus
2459,Mycobacterium virus Che8,Mycobacterium
2460,Mycobacterium virus CJW1,Mycobacterium
2461,Mycobacterium virus Bxz2,Unknown
2462,Mycobacterium virus Che9c,Mycobacterium
2463,Mycobacterium virus Rosebush,Mycobacterium
2464,Mycobacterium virus Corndog,Mycobacterium
2465,Mycobacterium virus Omega,Mycobacterium
2466,Mycobacterium virus Barnyard,Mycobacterium
2467,Streptomyces virus phiBT1,Streptomyces lividans
2468,Pseudomonas virus gh1,Pseudomonas putida
2469,Escherichia virus T4,Escherichia coli
2470,Staphylococcus virus 11,Staphylococcus aureus subsp. aureus NCTC 8325
2471,Staphylococcus virus phi12,Staphylococcus aureus subsp. aureus NCTC 8325
2472,Staphylococcus virus 13,Staphylococcus aureus subsp. aureus NCTC 8325
2473,Streptococcus phage 315.1,Streptococcus pyogenes MGAS315
2474,Streptococcus phage 315.2,Streptococcus pyogenes MGAS315
2475,Streptococcus phage 315.3,Streptococcus pyogenes MGAS315
2476,Streptococcus phage 315.4,Streptococcus pyogenes MGAS315
2477,Streptococcus phage 315.5,Streptococcus pyogenes MGAS315
2478,Streptococcus phage 315.6,Streptococcus pyogenes MGAS315
2479,Vibrio virus VHML,Vibrio harveyi
2480,Lactococcus virus bIL170,Lactococcus lactis
2481,Streptococcus phage MM1,Streptococcus
2482,Escherichia virus P2,Escherichia coli
2483,Vibrio virus fs1,Vibrio cholerae O139
2484,Salmonella virus ST64T,Salmonella enterica subsp. enterica serovar Typhimurium
2485,Salmonella phage ST64B,Salmonella enterica subsp. enterica serovar Typhimurium
2486,Natrialba phage PhiCh1,Unknown
2487,Vibrio virus VpV262,Vibrio parahaemolyticus
2488,Escherichia virus Mu,Escherichia coli
2489,Propionibacterium virus B5,Propionibacterium freudenreichii
2490,Streptococcus virus DT1,Streptococcus thermophilus
2491,Escherichia virus HK97,Escherichia coli
2492,Staphylococcus prophage phiPV83,Staphylococcus aureus
2493,Staphylococcus virus phiSLT,Staphylococcus aureus
2494,Lactococcus phage bIL310,Lactococcus lactis subsp. lactis Il1403
2495,Lactococcus phage bIL311,Lactococcus lactis subsp. lactis Il1403
2496,Streptococcus virus Sfi19,Streptococcus thermophilus
2497,Streptococcus virus Sfi21,Streptococcus thermophilus
2498,Haemophilus virus HP1,Haemophilus influenzae
2499,Haemophilus virus HP2,Haemophilus influenzae
2500,Enterobacteria phage phiP27,Escherichia coli
2501,Sinorhizobium phage PBC5,Sinorhizobium meliloti
2502,Burkholderia virus phiE125,Burkholderia thailandensis
2503,Burkholderia virus phiE125,Burkholderia
2504,Chlamydia virus CPG1,Chlamydia psittaci
2505,Enterobacteria phage T3,Escherichia coli
2506,Temperate phage phiNIH1.1,Unknown
2507,Pseudomonas virus phi12,Pseudomonas syringae
2508,Myxococcus virus Mx8,Myxococcus xanthus
2509,Lactococcus phage BK5-T,Lactococcus lactis
2510,Lactococcus phage TP901-1,Lactococcus lactis
2511,Salmonella virus HK620,Escherichia coli
2512,Acinetobacter phage AP205,Acinetobacter genomosp. 16BJ
2513,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis Il1403
2514,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403
2515,Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403
2516,Lactococcus phage bIL312,Lactococcus lactis subsp. lactis Il1403
2517,Mycobacterium virus Bxb1,Mycolicibacterium smegmatis
2518,Bdellovibrio virus MH2K,Bdellovibrio bacteriovorus
2519,Methanothermobacter phage psiM100,Unknown
2520,Roseobacter virus SIO1,Roseobacter
2521,Mycoplasma virus P1,Mycoplasma pulmonis
2522,Pseudomonas virus phi13,Pseudomonas syringae
2523,Staphylococcus virus phiETA,Staphylococcus aureus
2524,Vibrio phage VfO4K68,Vibrio parahaemolyticus
2525,Vibrio virus VfO3K6,Vibrio parahaemolyticus
2526,Streptococcus virus Sfi11,Unknown
2527,Chlamydia virus Chp2,Chlamydia psittaci
2528,Streptococcus virus 7201,Streptococcus thermophilus
2529,Chlamydia virus CPAR39,Chlamydia pneumoniae AR39
2530,Escherichia virus HK022,Unknown
2531,Spiroplasma virus SVTS2,Spiroplasma
2532,Yersinia phage phiYeO3-12,Yersinia enterocolitica (type O:3)
2533,Hamiltonella virus APSE1,Unknown
2534,Listeria phage A118,Listeria monocytogenes
2535,Lactobacillus phage phiadh,Lactobacillus gasseri
2536,Pseudoalteromonas virus PM2,Pseudoalteromonas
2537,Lactococcus phage Tuc2009,Lactococcus lactis
2538,Escherichia virus 933W,Escherichia coli O157:H7 str. EDL933
2539,Vibrio virus K139,Vibrio cholerae O139
2540,Mycobacterium virus TM4,Mycobacterium avium
2541,Bacillus phage phi105,Bacillus
2542,Pseudomonas virus phiCTX,Pseudomonas aeruginosa
2543,Vibrio virus fs2,Vibrio cholerae O139
2544,Escherichia virus If1,Escherichia coli
2545,Escherichia virus 186,Escherichia
2546,Mycoplasma phage MAV1,Mycoplasma arthritidis
2547,Staphylococcus phage PVL,Staphylococcus aureus
2548,Methanobacterium phage psiM2,Unknown
2549,Escherichia virus N15,Unknown
2550,Mycobacterium virus D29,Mycobacterium tuberculosis
2551,Escherichia virus Qbeta,Escherichia coli
2552,Bacillus virus SPbeta,Bacillus subtilis
2553,Enterobacteria phage SfV,Shigella flexneri
2554,Streptococcus virus O1205,Streptococcus thermophilus
2555,Lactococcus virus sk1,Lactococcus lactis
2556,Bacillus virus GA1,Bacillus sp. (in: Bacteria)
2557,Escherichia virus phiK,Escherichia
2558,Bacillus virus B103,Bacillus subtilis
2559,Lactococcus phage r1t,Lactococcus lactis
2560,Pseudomonas virus Pf3,Pseudomonas aeruginosa
2561,Lactococcus virus c2,Lactococcus lactis
2562,Spiroplasma virus C74,Spiroplasma citri
2563,Streptococcus virus Cp1,Streptococcus pneumoniae
2564,Lactococcus virus bIL67,Lactococcus
2565,Pseudomonas phage PP7,Pseudomonas aeruginosa
2566,Spiroplasma virus SpV4,Spiroplasma melliferum
2567,Escherichia virus phiX174,Unknown
2568,Chlamydia virus Chp1,Chlamydia psittaci
2569,Pseudomonas virus phi6,Pseudomonas savastanoi pv. phaseolicola
2570,Xanthomonas virus Cf1c,Xanthomonas campestris
2571,Escherichia virus alpha3,Escherichia coli
2572,Acholeplasma virus L51,Acholeplasma laidlawii
2573,Enterobacteria phage P4,Escherichia coli
2574,Spiroplasma virus R8A2B,Spiroplasma citri
2575,Escherichia virus I22,Escherichia coli
2576,Escherichia virus FI,Enterobacterales
2577,Escherichia virus T7,Escherichia coli
2578,Escherichia virus M13,Escherichia coli
2579,Staphylococcus phage KSAP7,Staphylococcus aureus
2580,Staphylococcus phage KSAP11,Staphylococcus aureus
2581,Salmonella phage vB_SenM-1,Salmonella enterica
2582,Mycobacterium phage Weirdo19,Mycobacterium sp.
2583,Staphylococcus phage SA44-CTH7,Staphylococcus aureus
2584,Pseudomonas phage Epa6,Pseudomonas sp.
2585,Pseudomonas phage Epa15,Pseudomonas
2586,Enterococcus phage vB_EfaS_140,Enterococcus
2587,Buttiauxella phage vb_ButM_GuL6,Buttiauxella
2588,Cronobacter phage JC01,Cronobacter sakazakii
2589,Psychrobacillus phage Perkons,Psychrobacillus psychrodurans
2590,Escherichia phage SECphi4,Escherichia coli str. K-12 substr. MG1655
2591,Klebsiella phage VLC6,Klebsiella pneumoniae
2592,Enterobacter phage EBPL,Enterobacter cloacae
2593,Synechococcus phage S-H25,Synechococcus sp. WH 8102
2594,Enterococcus phage phiNASRA1,Enterococcus faecalis
2595,Enterococcus phage MSF2,Enterococcus faecalis
2596,Flavobacterium phage FPSV-D2,Flavobacterium psychrophilum
2597,Flavobacterium phage FPSV-D15,Flavobacterium psychrophilum
2598,Flavobacterium phage FPSV-D19,Flavobacterium psychrophilum
2599,Flavobacterium phage FPSV-D22,Flavobacterium psychrophilum
2600,Flavobacterium phage FPSV-F7,Flavobacterium psychrophilum
2601,Flavobacterium phage FPSV-F12,Flavobacterium psychrophilum
2602,Flavobacterium phage FPSV-S1,Flavobacterium psychrophilum
2603,Flavobacterium phage FPSV-S2,Flavobacterium psychrophilum
2604,Flavobacterium phage FPSV-S3,Flavobacterium psychrophilum
2605,Flavobacterium phage FPSV-S8,Flavobacterium psychrophilum
2606,Flavobacterium phage FPSV-S18,Flavobacterium psychrophilum
2607,Flavobacterium phage FPSV-S20,Flavobacterium psychrophilum
2608,Flavobacterium phage FPSV-S27,Flavobacterium psychrophilum
2609,Flavobacterium phage FPSV-S29,Flavobacterium psychrophilum
2610,Flavobacterium phage FPSV-D35,Flavobacterium psychrophilum
2611,Synechococcus phage S-SCSM1,Synechococcus sp. WH 7803
2612,Clostridium phage CPAS-15,Clostridium perfringens
2613,Gordonia phage Secretariat,Gordonia rubripertincta
2614,Microbacterium phage Sedgewig,Microbacterium foliorum
2615,Streptomyces phage ClubPenguin,Streptomyces mirabilis
2616,Microbacterium phage AvGardian,Microbacterium foliorum
2617,Streptomyces phage CricKo,Streptomyces scabiei
2618,Microbacterium phage Rasovi,Microbacterium foliorum
2619,Microbacterium phage Zada,Microbacterium foliorum
2620,Mycobacterium phage Danforth,Mycolicibacterium smegmatis
2621,Mycobacterium phage Iwokeuplikedis,Mycolicibacterium smegmatis MC2 155
2622,Mycobacterium phage MarkPhew,Mycolicibacterium smegmatis MC2 155
2623,Mycobacterium phage Chris,Mycolicibacterium smegmatis MC2 155
2624,Microbacterium phage BeautPeep30,Microbacterium foliorum
2625,Streptomyces phage Itza,Streptomyces griseofuscus
2626,Streptomyces phage Issmi,Streptomyces griseofuscus
2627,Microbacterium phage Nobel,Microbacterium foliorum
2628,Streptomyces phage Bmoc,Streptomyces griseofuscus
2629,Microbacterium phage Pherferi,Microbacterium foliorum
2630,Mycobacterium phage Chaelin,Mycolicibacterium smegmatis
2631,Mycobacterium phage Telesworld,Mycolicibacterium smegmatis
2632,Microbacterium phage Truong,Microbacterium foliorum
2633,Mycobacterium phage RawrgerThat,Mycolicibacterium smegmatis
2634,Mycobacterium phage Jackstina,Mycolicibacterium smegmatis
2635,Gordonia phage Evamon,Gordonia terrae
2636,Microbacterium phage Convict,Microbacterium foliorum
2637,Arthrobacter phage Boersma,Arthrobacter sp. ATCC 21022
2638,Microbacterium phage Ashton,Microbacterium foliorum
2639,Mycobacterium phage VC3,Mycolicibacterium smegmatis
2640,Mycobacterium phage VA6,Mycolicibacterium smegmatis
2641,Mycobacterium phage MK4,Mycolicibacterium smegmatis
2642,Mycobacterium phage MA5,Mycolicibacterium smegmatis
2643,Mycobacterium phage JF4,Mycolicibacterium smegmatis
2644,Mycobacterium phage JF2,Mycolicibacterium smegmatis
2645,Mycobacterium phage JF1,Mycolicibacterium smegmatis
2646,Mycobacterium phage D32,Mycolicibacterium smegmatis
2647,Mycobacterium phage ANI8,Mycolicibacterium smegmatis
2648,Mycobacterium phage AN9,Mycolicibacterium smegmatis
2649,Mycobacterium phage AN3,Mycolicibacterium smegmatis
2650,Microbacterium phage Unphazed,Microbacterium foliorum
2651,Microbacterium phage Phogo,Microbacterium foliorum
2652,Microbacterium phage Phractured,Microbacterium foliorum
2653,Microbacterium phage Phedro,Microbacterium foliorum
2654,Microbacterium phage Pharky,Microbacterium foliorum
2655,Mycobacterium phage Compostia,Mycolicibacterium smegmatis
2656,Mycobacterium phage DRBy19,Mycolicibacterium smegmatis
2657,Microbacterium phage Tempo,Microbacterium foliorum
2658,Arthrobacter phage StevieBAY,Arthrobacter sp. ATCC 21022
2659,Microbacterium phage Lynlen,Microbacterium foliorum
2660,Mycobacterium phage Manatee,Mycolicibacterium smegmatis MC2 155
2661,Streptomyces phage Kela,Streptomyces scabiei
2662,Microbacterium phage McShie,Microbacterium foliorum
2663,Microbacterium phage Otwor,Microbacterium foliorum
2664,Streptomyces phage Galactica,Streptomyces mirabilis
2665,Microbacterium phage Danno,Microbacterium foliorum
2666,Mycobacterium phage Slatt,Mycolicibacterium smegmatis
2667,Mycobacterium phage Kimbrough,Mycolicibacterium smegmatis
2668,Aminobacter phage Erebus,Aminobacter sp. MSH1
2669,Sphingomonas phage Eidolon,Sphingomonas
2670,Sphingomonas phage Lucius,Sphingomonas
2671,Sphingomonas phage Kharn,Sphingomonas
2672,Vibrio phage phiV039C,Vibrio alginolyticus
2673,Acinetobacter phage vB_AbaP_APK44,Acinetobacter baumannii
2674,Acinetobacter phage vB_AbaP_APK87,Acinetobacter baumannii
2675,Bacteriophage APSE-7,Unknown
2676,Hamiltonella phage APSE-8,Candidatus Hamiltonella
2677,Bacteriophage APSE-3,Unknown
2678,Bacteriophage APSE-2,Unknown
2679,Streptococcus phage D4446,Streptococcus thermophilus
2680,Klebsiella virus KP32,Klebsiella
2681,Pseudomonas virus EL,Pseudomonas
2682,Enterobacteria phage vB_EcoM_IME540,Escherichia coli
2683,Phaeobacter phage MD18,Phaeobacter inhibens DSM 17395
2684,Microvirus sp.,Unknown
2685,Listeria virus P100plus,Listeria monocytogenes
2686,Listeria virus P200,Listeria monocytogenes
2687,Pseudomonas phage fnug,Pseudomonas aeruginosa PAO1
2688,Pseudomonas phage goonie,Pseudomonas aeruginosa PAO1
2689,Pseudomonas phage willy,Pseudomonas aeruginosa PAO1
2690,Pseudomonas phage billy,Pseudomonas aeruginosa PAO1
2691,Synechococcus phage S-H34,Synechococcus sp. MW02
2692,Klebsiella phage KPR2,Klebsiella pneumoniae
2693,Pseudomonas phage PaGz-1,Pseudomonas aeruginosa PAO1
2694,Pseudomonas phage PaZq-1,Pseudomonas aeruginosa PAO1
2695,Aeromonas phage AhyVDH1,Aeromonas hydrophila
2696,Staphylococcus phage vB_SauS_JS02,Staphylococcus aureus
2697,Klebsiella phage P-KP2,Klebsiella pneumoniae
2698,Acinetobacter virus vB_AbaP_AGC01,Acinetobacter baumannii
2699,Klebsiella phage VLC5,Klebsiella pneumoniae
2700,Achromobacter phage AMA1,Achromobacter marplatensis
2701,Achromobacter phage AMA2,Achromobacter marplatensis
2702,Achromobacter phage AMA3,Achromobacter marplatensis
2703,Klebsiella phage LASTA,Klebsiella pneumoniae
2704,Klebsiella phage SJM3,Klebsiella pneumoniae
2705,Vibrio phage vB_VpP_FE11,Vibrio
2706,Klebsiella virus KpS8,Klebsiella pneumoniae
2707,Escherichia phage CJ19,Escherichia coli
2708,Vibrio phage phiV208,Vibrio alginolyticus
2709,Staphylococcus virus Twort,Staphylococcus hyicus
2710,Xanthomonas phage PPDBI,Xanthomonas campestris
2711,Bacillus phage Izhevsk,Bacillus cereus
2712,Aeromonas phage PS,Aeromonas salmonicida
2713,Phage DP SC_2_H4_2017,Bacteria
2714,Gokushovirinae sp. SC_3_H2_2017,Bacteria
2715,Poophage SC_4_H6H8_2017,Bacteria
2716,Gokushovirinae sp. SC_5_H2H4_2017,Bacteria
2717,Phage DP SC_6_H4_2017,Bacteria
2718,Parabacteroides phage SC_7_H3_2017,Parabacteroides
2719,Pseudomonas phage SC_8_H2H8_2017,Pseudomonas sp.
2720,Pseudomonas phage SC_9_H1H8_2017,Pseudomonas sp.
2721,Pseudomonas phage SC_10_H1H2H8_2017,Pseudomonas sp.
2722,Vibrio phage V05,Vibrio parahaemolyticus
2723,Vibrio phage V07,Vibrio parahaemolyticus
2724,Vibrio phage V09,Vibrio parahaemolyticus
2725,Escherichia phage vB_EcoM_IME537,Escherichia coli
2726,Acinetobacter phage vB_AbaM_D22,Acinetobacter sp.
2727,Halorubrum virus Hardycor2,Unknown
2728,Halorubrum virus Serpecor1,Unknown
2729,Mesorhizobium phage Cp1R7A-A1,Mesorhizobium loti
2730,Butyrivibrio virus Arawn,Butyrivibrio fibrisolvens DSM 3071
2731,Butyrivibrio virus Arian,Butyrivibrio fibrisolvens DSM 3071
2732,Butyrivibrio virus Bo-Finn,Butyrivibrio fibrisolvens DSM 3071
2733,Butyrivibrio virus Ceridwen,Butyrivibrio fibrisolvens DSM 3071
2734,Butyrivibrio virus Idris,Butyrivibrio fibrisolvens DSM 3071
2735,Enterococcus phage PEf771,Enterococcus faecalis
2736,Siphoviridae sp.,Unknown
2737,Bacteriophage sp.,Apis mellifera
2738,Myoviridae sp.,Unknown
2739,Siphoviridae sp.,Lactobacillus melliventris
2740,Siphoviridae sp.,Gilliamella apicola
2741,Siphoviridae sp.,Lactobacillus kimbladii
2742,Myoviridae sp.,Lactobacillus apis
2743,Myoviridae sp.,Gilliamella apicola
2744,Bacteriophage sp.,Lactobacillus apis
2745,Bacteriophage sp.,Bifidobacterium asteroides
2746,Siphoviridae sp.,Bifidobacterium asteroides
2747,Bacteriophage sp.,Lactobacillus kullabergensis
2748,Myoviridae sp.,Bifidobacterium asteroides
2749,Bacteriophage sp.,Gilliamella apicola
2750,Myoviridae sp.,Lactobacillus kimbladii
2751,Bacteriophage sp.,Lactobacillus
2752,Myoviridae sp.,Lactobacillus melliventris
2753,Inoviridae sp.,Unknown
2754,Bacteriophage sp.,Lactobacillus melliventris
2755,Siphoviridae sp.,Lactobacillus kullabergensis
2756,Siphoviridae sp.,Lactobacillus
2757,Myoviridae sp.,Lactobacillus kullabergensis
2758,Cystoviridae sp.,Lactobacillus apis
2759,Cystoviridae sp.,Unknown
2760,Nitratiruptor phage NrS-1,Nitratiruptor
2761,Pseudomonas phage vB_PaeP_YA3,Pseudomonas aeruginosa UCBPP-PA14
2762,Alteromonas phage P24,Alteromonas macleodii
2763,Pantoea phage vB_PagM_SSEM1,Pantoea agglomerans
2764,Plasmopara viticola associated levivirus 1,Unknown
2765,Chicken microvirus mg4_76,Unknown
2766,Chicken microvirus mg4_115,Unknown
2767,Chicken microvirus mg4_164,Unknown
2768,Chicken microvirus mg4_207,Unknown
2769,Chicken microvirus mg5_146,Unknown
2770,Chicken microvirus mg6_154,Unknown
2771,Chicken microvirus mg6_218,Unknown
2772,Chicken microvirus mg7_1,Unknown
2773,Chicken microvirus mg7_6,Unknown
2774,Chicken microvirus mg7_7,Unknown
2775,Chicken microvirus mg7_8,Unknown
2776,Chicken microvirus mg7_10,Unknown
2777,Chicken microvirus mg7_14,Unknown
2778,Chicken microvirus mg7_16,Unknown
2779,Chicken microvirus mg7_19,Unknown
2780,Chicken microvirus mg7_20,Unknown
2781,Chicken microvirus mg7_25,Unknown
2782,Chicken microvirus mg8_41,Unknown
2783,Chicken microvirus mg8_45,Unknown
2784,Chicken microvirus mg8_48,Unknown
2785,Chicken microvirus mg8_95,Unknown
2786,Chicken microvirus mg8_102,Unknown
2787,Chicken microvirus mg8_109,Unknown
2788,Lactococcus virus P2,Unknown
2789,Escherichia phage EC6098,Escherichia sp. MOD1-EC6098
2790,Bacillus phage vB_BcM_Sam46,Bacillus cereus
2791,Vibrio phage V039C,Vibrio alginolyticus
2792,Salmonella phage faergetype,Salmonella enterica
2793,Salmonella phage bux,Salmonella enterica
2794,Salmonella phage rabagast,Salmonella enterica
2795,Salmonella phage bering,Salmonella enterica
2796,Salmonella phage kage,Salmonella enterica
2797,Salmonella phage moki,Salmonella enterica
2798,Mycobacterium phage Polymorphads,Mycolicibacterium smegmatis
2799,Mycobacterium phage Ein37,Mycolicibacterium smegmatis MC2 155
2800,Gordonia phage Breezic,Gordonia terrae
2801,Arthrobacter phage JKerns,Arthrobacter sp. ATCC 21022
2802,Streptomyces phage Moab,Streptomyces griseofuscus
2803,Mycobacterium phage Settecandela,Mycolicibacterium smegmatis
2804,Mycobacterium phage Veteran,Mycolicibacterium smegmatis MC2 155
2805,Mycobacterium phage BadStone,Mycobacterium
2806,Microbacterium phage Nike,Microbacterium foliorum
2807,Mycobacterium phage Phanphagia,Mycolicibacterium smegmatis MC2 155
2808,Pseudomonas phage Epa43,Pseudomonas sp.
2809,Pseudomonas phage Epa24,Pseudomonas sp.
2810,Pseudomonas phage Epa22,Pseudomonas sp.
2811,Pseudomonas phage Epa17,Pseudomonas sp.
2812,Pseudomonas phage Epa11,Pseudomonas sp.
2813,Pseudomonas phage Epa5,Pseudomonas sp.
2814,Pseudomonas phage Epa2,Pseudomonas sp.
2815,Pseudomonas phage Epa1,Pseudomonas sp.
2816,Pseudomonas phage Epa4,Pseudomonas sp.
2817,Pseudomonas phage Epa7,Pseudomonas sp.
2818,Pseudomonas phage Epa10,Pseudomonas sp.
2819,Pseudomonas phage Epa12,Pseudomonas sp.
2820,Pseudomonas phage Epa13,Pseudomonas sp.
2821,Pseudomonas phage Epa14,Pseudomonas sp.
2822,Pseudomonas phage Epa16,Pseudomonas sp.
2823,Pseudomonas phage Epa18,Pseudomonas sp.
2824,Pseudomonas phage Epa19,Pseudomonas sp.
2825,Pseudomonas phage Epa20,Pseudomonas sp.
2826,Pseudomonas phage Epa21,Pseudomonas sp.
2827,Pseudomonas phage Epa25,Pseudomonas sp.
2828,Pseudomonas phage Epa26,Pseudomonas sp.
2829,Pseudomonas phage Epa33,Pseudomonas sp.
2830,Pseudomonas phage Epa38,Pseudomonas sp.
2831,Pseudomonas phage Epa39,Pseudomonas sp.
2832,Pseudomonas phage Epa40,Pseudomonas sp.
2833,Pseudomonas phage Epa41,Pseudomonas sp.
2834,Enterococcus phage heks,Enterococcus faecalis
2835,Enterococcus phage nattely,Enterococcus faecalis
2836,Enterococus phage vipetofem,Enterococcus faecalis
2837,Pseudomonas phage clash,Pseudomonas aeruginosa PAO1
2838,Pseudomonas phage debbie,Pseudomonas aeruginosa PAO1
2839,Pseudomonas phage elmo,Pseudomonas aeruginosa PAO1
2840,Pseudomonas phage goodold,Pseudomonas aeruginosa PAO1
2841,Pseudomonas phage jett,Pseudomonas aeruginosa PAO1
2842,Pseudomonas phage misfit,Pseudomonas aeruginosa PAO1
2843,Pseudomonas phage shane,Pseudomonas aeruginosa PAO1
2844,Pseudomonas phage sortsol,Pseudomonas aeruginosa PAO1
2845,Pseudomonas phage steven,Pseudomonas aeruginosa PAO1
2846,Pseudomonas phage oldone,Pseudomonas aeruginosa PAO1
2847,Pseudomonas phage cory,Pseudomonas aeruginosa PAO1
2848,Pseudomonas phage otherone,Pseudomonas aeruginosa PAO1
2849,Pseudomonas phage antinowhere,Pseudomonas aeruginosa PAO1
2850,Pseudomonas phage chumba,Pseudomonas aeruginosa PAO1
2851,Pseudomonas phage chunk,Pseudomonas aeruginosa PAO1
2852,Pseudomonas phage crassa,Pseudomonas aeruginosa PAO1
2853,Pseudomonas phage datas,Pseudomonas aeruginosa PAO1
2854,Bacillus phage vB_BceS_KLEB30-3S,Bacillus cereus
2855,Citrobacter phage PhiZZ6,Citrobacter rodentium
2856,Phage NBEco005,Unknown
2857,Klebsiella phage CX1,Klebsiella pneumoniae
2858,Thermus virus P23-45,Unknown
2859,Pseudomonas phage Lana,Pseudomonas sp.
2860,Phage NBEco001,Unknown
2861,Phage NBEco002,Unknown
2862,Phage NBEco003,Unknown
2863,Phage NBEco004,Unknown
2864,Phage NBSal001,Unknown
2865,Phage NBSal002,Unknown
2866,Phage NBSal003,Unknown
2867,Phage NBSal004,Unknown
2868,Phage NBSal005,Unknown
2869,Gordonia phage DumpsterDude,Gordonia terrae
2870,Microbacterium phage Stromboli,Microbacterium foliorum
2871,Mycobacterium phage Pmask,Mycolicibacterium smegmatis MC2 155
2872,Microbacterium phage Alakazam,Microbacterium foliorum
2873,Microbacterium phage Arete,Microbacterium foliorum
2874,Microbacterium phage Oxtober96,Microbacterium foliorum
2875,Streptomyces phage Wakanda,Streptomyces sanglieri
2876,Mycobacterium phage Willsammy,Mycolicibacterium smegmatis MC2 155
2877,Arthrobacter phage BlueFeather,Arthrobacter globiformis
2878,Arthrobacter phage Abba,Arthrobacter globiformis
2879,Arthrobacter phage Lego,Arthrobacter globiformis
2880,Arthrobacter phage Whytu,Arthrobacter globiformis
2881,Arthrobacter phage YesChef,Arthrobacter globiformis
2882,Streptomyces phage Muntaha,Streptomyces sanglieri
2883,Proteus phage Privateer,Proteus mirabilis
2884,Pseudomonas phage BIM BV-45,Pseudomonas fluorescens
2885,Pseudomonas phage BIM BV-46,Pseudomonas fluorescens
2886,Stenotrophomonas phage vB_SmaS_DLP_3,Stenotrophomonas maltophilia
2887,Xanthomonas phage PBR31,Xanthomonas campestris
2888,Vibrio phage Chester,Vibrio harveyi
2889,Synechococcus phage S-N03,Synechococcus sp. MW02
2890,Citrobacter phage PhiZZ23,Citrobacter rodentium
2891,Serratia phage PhiZZ30,Serratia sp. ATCC 39006
2892,Salmonella phage astrithr,Salmonella enterica
2893,Salmonella phage pink,Salmonella enterica
2894,Salmonella phage demigod,Salmonella enterica
2895,Salmonella phage dunkel,Salmonella enterica
2896,Salmonella phage slyngel,Salmonella enterica
2897,Salmonella phage emiel,Salmonella enterica
